date,away,away_pts,home,home_pts,a_mov,h_mov,a_ORtg,h_ORtg,a_DRtg,h_DRtg,a_NRtg,h_NRtg,a_mov/a,h_mov/a,a_ORtg/a,h_ORtg/a,a_DRtg/a,h_DRtg/a,a_NRtg/a,h_NRtg/a,winner
2021-11-21,Toronto Raptors,104.0,Golden State Warriors,119.0,0.82,13.0,111.49,113.93,110.6,100.82,0.88,13.11,1.65,10.78,111.95,113.24,110.23,102.39,1.72,10.84,home
2021-11-22,Brooklyn Nets,117.0,Cleveland Cavaliers,112.0,3.76,0.0,110.01,106.6,106.04,106.58,3.96,0.02,2.95,0.99,109.85,106.75,106.7,105.74,3.15,1.0,away
2021-11-22,Charlotte Hornets,109.0,Washington Wizards,103.0,-1.33,2.63,110.2,108.57,111.38,106.07,-1.18,2.5,0.23,3.11,110.96,107.75,110.59,104.73,0.37,3.02,away
2021-11-22,Oklahoma City Thunder,101.0,Atlanta Hawks,113.0,-7.0,0.12,100.46,112.6,107.59,112.51,-7.13,0.09,-6.81,1.53,101.02,113.83,107.92,112.27,-6.91,1.56,home
2021-11-22,Houston Rockets,90.0,Boston Celtics,108.0,-10.81,1.88,99.22,109.0,109.89,107.02,-10.67,1.99,-11.04,1.34,99.44,109.08,110.32,107.61,-10.88,1.47,home
2021-11-22,Indiana Pacers,109.0,Chicago Bulls,77.0,0.39,5.24,109.05,111.79,108.71,106.55,0.34,5.24,0.77,5.49,108.32,111.56,107.57,106.06,0.76,5.5,away
2021-11-22,Orlando Magic,92.0,Milwaukee Bucks,123.0,-8.71,-0.24,103.27,108.56,112.08,108.78,-8.81,-0.22,-8.19,-0.91,103.11,108.27,111.34,109.12,-8.23,-0.85,home
2021-11-22,Minnesota Timberwolves,110.0,New Orleans Pelicans,96.0,1.38,-8.78,108.71,104.75,107.04,113.71,1.67,-8.96,-0.18,-7.28,108.72,105.25,108.74,112.74,-0.02,-7.49,away
2021-11-22,Phoenix Suns,115.0,San Antonio Spurs,111.0,7.25,-2.53,111.23,105.98,104.04,108.58,7.2,-2.6,5.02,-4.91,109.61,105.65,104.66,110.65,4.95,-5.0,away
2021-11-22,Memphis Grizzlies,119.0,Utah Jazz,118.0,-5.13,9.69,109.98,115.72,115.3,105.74,-5.32,9.98,-4.1,9.63,111.59,115.02,115.91,105.1,-4.32,9.92,away
2021-11-22,Philadelphia 76ers,102.0,Sacramento Kings,94.0,1.76,-2.0,113.99,109.76,112.11,111.95,1.88,-2.19,1.68,-0.98,113.49,110.19,111.7,111.34,1.8,-1.15,away
2021-11-23,Miami Heat,100.0,Detroit Pistons,92.0,7.41,-8.69,113.51,102.63,106.0,111.48,7.51,-8.86,7.6,-8.19,114.19,102.67,106.48,110.98,7.71,-8.31,away
2021-11-23,Los Angeles Lakers,100.0,New York Knicks,106.0,-3.56,0.53,106.4,110.32,109.92,109.76,-3.52,0.56,-4.92,-0.96,106.36,109.91,111.25,110.81,-4.89,-0.9,home
2021-11-23,Denver Nuggets,100.0,Portland Trail Blazers,119.0,0.94,0.65,107.94,113.15,106.87,112.6,1.07,0.54,1.64,1.5,107.38,114.16,105.6,112.83,1.78,1.32,home
