date,start,away,away_pts,home,home_pts,attend,winner
2021-11-28,6:00p,Sacramento Kings,,Memphis Grizzlies,,,home
2021-11-28,6:00p,Boston Celtics,,Toronto Raptors,,,home
2021-11-28,9:30p,Detroit Pistons,,Los Angeles Lakers,,,home
2021-11-29,7:00p,Orlando Magic,,Philadelphia 76ers,,,home
2021-11-29,7:30p,Denver Nuggets,,Miami Heat,,,home
2021-11-29,8:00p,Charlotte Hornets,,Chicago Bulls,,,home
2021-11-29,8:00p,Oklahoma City Thunder,,Houston Rockets,,,home
2021-11-29,8:00p,Indiana Pacers,,Minnesota Timberwolves,,,home
2021-11-29,8:30p,Cleveland Cavaliers,,Dallas Mavericks,,,home
2021-11-29,8:30p,Washington Wizards,,San Antonio Spurs,,,home
2021-11-29,9:00p,Portland Trail Blazers,,Utah Jazz,,,home
2021-11-29,10:30p,New Orleans Pelicans,,Los Angeles Clippers,,,home
2021-11-30,7:30p,New York Knicks,,Brooklyn Nets,,,home
2021-11-30,7:30p,Memphis Grizzlies,,Toronto Raptors,,,home
2021-11-30,10:00p,Golden State Warriors,,Phoenix Suns,,,home
2021-11-30,10:00p,Detroit Pistons,,Portland Trail Blazers,,,home
2021-11-30,10:00p,Los Angeles Lakers,,Sacramento Kings,,,home
